central_prefix,n_gen,pg_total_mw,pt_total_mw,gen_keys,bus_ids,bus_destino_manual,nombre_geosadi
DSUDTG,4,483.0,577.5999999999999,3637-7|3638-8|3645-1|3646-2,3637|3638|3645|3646,,
COSTTG,2,471.0,524.0,3609-1|3610-2,3609|3610,,
PNUETV,2,390.0,444.0,3678-8|3679-9,3678|3679,,
NPUETV,3,298.0,420.0,3664-4|3665-5|3666-6,3664|3665|3666,,
CEPUTV,1,260.0,282.0,3669-1,3669,,
TUCUTG,2,230.0,288.4,8611-1|8612-2,8611|8612,,
CEPUTG,1,230.0,258.0,3667-1,3667,,
PPNOTG,2,220.0,224.0,8602-1|8603-2,8602|8603,,
DSUDTV,1,210.0,288.4,3644-1,3644,,
SNICTV,3,150.0,225.0,2671-1|2672-2|2673-3,2671|2672|2673,,
TUCUTV,1,120.0,158.6,8613-3,8613,,
SMTUTG,1,110.0,116.0,8600-1,8600,,
COSTTV,3,100.0,351.0,3601-1|3602-2|3603-3,3601|3602|3603,,
CAU3FV,1,95.0,116.97,8640-3,8640,,
CAU2FV,1,95.0,116.97,8639-2,8639,,
CAU1FV,1,95.0,116.97,8638-1,8638,,
ASECTG,2,86.4,108.0,4637-1|4638-1,4637|4638,,
MANAEO,2,51.864,103.5,691-1|692-2,691|692,,
LOM6EO,2,51.864,100.8,605-1|688-2,605|688,,
NONOFV,1,28.0,35.0,8676-1,8676,,
MBE2DI,5,25.692,58.8,536-1|536-3|536-5|619-2|619-4,536|536|536|619|619,,
MANBDI,2,25.380000000000003,25.380000000000003,607-1|618-2,607|618,,
SHELTG,1,25.0,27.0,3640-1,3640,,
LRI3FV,1,17.6,22.0,8698-1,8698,,
ISBATV,1,16.2,16.2,8604-1,8604,,
DIA2EO,1,15.903,29.4,659-1,659,,
ASECTV,1,14.4,18.0,4639-1,4639,,
AMA4FV,1,9.6,12.0,8904-1,8904,,
LEALTV,1,4.0,5.0,8902-2,8902,,
TRAPTG,7,3.7,27.520000000000003,1643-1|1644-1|1644-2|1644-3|1644-4|1644-5|1646-5,1643|1644|1644|1644|1644|1644|1646,,
CAMPAT,5,3.2,19.650000000000002,1647-1|1647-2|1647-3|1647-4|1647-5,1647|1647|1647|1647|1647,,
HUIN.C,2,0.0,486.5,1693-G|1693-V,1693|1693,,
CSARDI,1,0.0,5.0,2653-1,2653,,
COSMDI,1,0.0,35.864,3612-1,3612,,
