bus_id,nombre,lon,lat,v_nom
LAVALLE,LAVALLE,-65.1044619,-28.1577304,500
RECREO,RECREO,-65.0574469,-29.2603964,500
EL_BRACHO,EL BRACHO,-65.1655235,-26.994909,500
COBOS,COBOS,-65.0471807,-24.7457443,500
SAN_JUANCITO,SAN JUANCITO,-64.9975373,-24.3767165,500
LA_RIOJA_SUR,LA RIOJA SUR,-66.5129361,-29.3974772,500
MONTE_QUEMADO,MONTE QUEMADO,-62.8165781,-25.8466539,500
CHACO,CHACO,-60.4393423,-26.8654314,500
RESISTENCIA,RESISTENCIA,-59.1085681,-27.2997269,500
GRAN_FORMOSA,GRAN FORMOSA,-58.2484576,-26.0963094,500
PASO_LA_PATRIA,PASO LA PATRIA,-58.687925,-27.3836123,500
RINCON_STA_MARIA,RINCÓN STA. MARÍA,-56.697683,-27.4887181,500
YACYRETA,YACYRETÁ,-56.739278,-27.4827573,500
SAN_ISIDRO,SAN ISIDRO,-55.9181895,-27.4428686,500
MERCEDES,MERCEDES,-57.7017029,-29.3558809,500
ROMANG,ROMANG,-59.7631398,-29.4598194,500
SANTO_TOME,SANTO TOMÉ,-60.862415,-31.6585651,500
RIO_CORONDA,RÍO CORONDA,-60.7936421,-32.5781453,500
ROSARIO_OESTE,ROSARIO OESTE,-60.7799849,-32.9684417,500
MALVINAS,MALVINAS,-63.912952,-31.3399185,500
ALMAFUERTE,ALMAFUERTE,-64.3172936,-32.2066326,500
EMBALSE,EMBALSE,-64.442602,-32.2337311,500
RIO_GRANDE,RÍO GRANDE,-64.6364544,-32.2215704,500
ARROYO_CABRAL,ARROYO CABRAL,-63.4232485,-32.4968033,500
LUJAN,LUJÁN,-66.0651645,-32.3689433,500
GRAN_MENDOZA,GRAN MENDOZA,-68.5819527,-33.0978701,500
RIO_DIAMANTE,RÍO DIAMANTE,-68.5937206,-34.5499519,500
SALTO_GRANDE_ARG,SALTO GRANDE (ARG),-57.9635208,-31.2796643,500
C_ELIA,C. ELÍA,-58.2939884,-32.6012869,500
RAMALLO,RAMALLO,-60.1801147,-33.4105097,500
AES_PARANA,AES PARANÁ,-60.1696645,-33.356196,500
ATUCHA_II,ATUCHA II,-59.2047889,-33.9710613,500
NUEVA_CAMPANA,NUEVA CAMPANA,-58.9987935,-34.1729195,500
MANUEL_BELGRANO,MANUEL BELGRANO,-59.0033994,-34.1860753,500
GRAL_RODRIGUEZ,GRAL. RODRIGUEZ,-58.9318934,-34.5299885,500
EZEIZA,EZEIZA,-58.7246422,-34.9118465,500
ABASTO,ABASTO,-58.1649273,-34.9682263,500
HENDERSON,HENDERSON,-61.6707351,-36.3459533,500
OLAVARRIA,OLAVARRÍA,-60.3439986,-36.839221,500
BAHIA_BLANCA,BAHÍA BLANCA,-62.0537662,-38.6573436,500
PIEDRA_BUENA,PIEDRA BUENA,-62.2517572,-38.7865968,500
MACACHIN,MACACHÍN,-63.5646568,-37.1513829,500
PUELCHES,PUELCHES,-65.8229596,-38.1501428,500
CHOELE_CHOEL,CHOELE CHOEL,-65.6919995,-39.5683495,500
ALICURA,ALICURÁ,-70.7486596,-40.5796589,500
P_DEL_AGUILA,P. DEL AGUILA,-70.0447525,-40.1628926,500
P_DEL_AGUILA_CH,P. DEL AGUILA (CH),-69.991494,-40.1892619,500
P_P_LEUFU,P. P. LEUFÚ,-69.9843839,-40.0125444,500
EL_CHOCON_CH,EL CHOCÓN (CH),-68.7566907,-39.2658522,500
EL_CHOCON,EL CHOCÓN,-68.748146,-39.2577788,500
EL_CHOCON_OESTE,EL CHOCÓN OESTE,-68.7793993,-39.2373798,500
AGUA_DE_CAJON,AGUA DE CAJÓN,-68.3559841,-38.9389597,500
CERRITO_DE_LA_COSTA,CERRITO DE LA COSTA,-68.2573668,-38.7197149,500
P_BANDERITA,P. BANDERITA,-68.4729227,-38.5599413,500
LOMA_LA_LATA,LOMA LA LATA,-68.6043841,-38.5126463,500
PUERTO_MADRYN,PUERTO MADRYN,-65.1051158,-42.7044556,500
SANTA_CRUZ_NORTE,SANTA CRUZ NORTE,-67.9792001,-46.7742815,500
RIO_SANTA_CRUZ,RÍO SANTA CRUZ,-68.973397,-49.9861809,500
ESPERANZA_PAT,ESPERANZA PAT,-70.7142705,-51.0427218,500
SANTIAGO,SANTIAGO,-64.3461746,-27.8383907,500
G_BROWN,G. BROWN,-62.4157583,-38.684571,500
GRAN_PARANA,GRAN PARANÁ,-60.4255694,-31.714239,500
NUEVA_SAN_JUAN,NUEVA SAN JUAN,-68.6190063,-31.5652485,500
VIVORATA,VIVORATA,-57.7318563,-37.6937382,500
CENTRAL_GENELBA,CENTRAL GENELBA,-58.7327362,-34.902738,500
25_DE_MAYO,25 DE MAYO,-60.0694998,-35.4813928,500
PE_PAMPA_VI,PE PAMPA VI,-61.9639342,-38.6580313,500
